country,eng, top 5 distance,temp,precipitation,sunshine,windy days,index_alcohol,index_religion,index_prices,index_cleanliness,index_safety
Uganda,89.9,,,,,,9.5,93%,,35.6,2.219
Ukraine,18,,20.20270921131846,149.16234158117078,300.1583769633508,2.851851851851852,8.6,46%,30.2,49.5,2.66
United Arab Emirates,,176.0,35.30769230769231,1128.9193548387098,321.3939393939394,0.0,3.8,76%,72.3,55.6,1.848
United Kingdom,98.3,44.0,7.140797546012255,96.30841924398624,141.67022086824068,0.4039525691699605,11.4,25%,100.3,81.3,1.658
United States of America,95.5,150.0,20.966719389653868,135.7574496263362,271.8421052631579,0.8914978223821246,9.8,67%,100.0,69.3,2.337
Uruguay,24,,11.054418604651158,89.82590233545648,150.21990740740742,0.5650224215246636,10.8,40%,,49.1,1.817
Uzbekistan,,,28.6003717472119,2716.024163568773,359.91509433962267,,2.7,55%,,44.3,2.062
Vanuatu,83.55,,23.08474576271185,180.28813559322035,,,1.0,,,28.9,
Venezuela,,,26.81877979027645,186.40651162790687,194.31409649952693,0.6728971962616822,5.6,79%,,50.3,2.934
Vietnam,,,28.84999999999999,263.6301587301587,194.3767885532592,0.2035714285714285,8.3,15%,35.0,33.4,1.835
Yemen,9,,38.3,0.0,,0.0,0.1,98%,,,3.407
Zambia,16.02,,,,,,4.8,95%,29.6,34.7,1.964
Zimbabwe,82.07,,19.066666666666663,2.0,242.625,0.0,4.8,88%,,37.0,2.49
